sab,onsettime,autofile_i,ppid,cogload,trialn,RT,disengaged,premature,maxsb,design,TLC_calc,V1,simulated_ttlc,TLC_onset,TLC_takeover,time_remaining,early,TLC_end_of_trial,censored,TLC_failure
-0.52191351,6,0,6,noload,36,4.48369308971928,1,0,0.774679113061424,balanced,6.38605011755701,2,7.116666667,7.116666667,2.63297357728072,9,4.51630691028072,-1.883333333,0,7.12
-0.52191351,6,0,2,noload,6,4.80014223312648,1,0,0.877908698,balanced,6.38605011755701,2,7.116666667,7.116666667,2.31652443387352,9,4.19985776687352,-1.883333333,0,7.12
-0.52191351,6,0,12,noload,44,4.9171111001101,1,0,0.8938067638351,balanced,6.38605011755701,2,7.116666667,7.116666667,2.1995555668899,9,4.0828888998899,-1.883333333,0,7.12
-0.52191351,6,0,1,noload,7,5.28362121816291,1,0,1.00932570597952,balanced,6.38605011755701,2,7.116666667,7.116666667,1.83304544883709,9,3.71637878183709,-1.883333333,0,7.12
-0.52191351,6,0,9,noload,34,5.03290430078959,1,0,0.973265203,balanced,6.38605011755701,2,7.116666667,7.116666667,2.08376236621041,9,3.96709569921041,-1.883333333,0,7.12
-0.52191351,6,0,8,noload,35,4.56659261,1,0,0.887395360376843,balanced,6.38605011755701,2,7.116666667,7.116666667,2.550074057,9,4.43340739,-1.883333333,0,7.12
-0.52191351,6,0,4,noload,43,4.23369528634009,1,0,0.625927452162237,balanced,6.38605011755701,2,7.116666667,7.116666667,2.88297138065991,9,4.76630471365991,-1.883333333,0,7.12
-0.52191351,6,0,5,noload,33,4.08357670303701,1,0,0.590222397,balanced,6.38605011755701,2,7.116666667,7.116666667,3.03308996396299,9,4.91642329696299,-1.883333333,0,7.12
-0.52191351,6,0,4,noload,40,4.41681948020152,1,0,0.663689236,balanced,6.38605011755701,2,7.116666667,7.116666667,2.69984718679848,9,4.58318051979848,-1.883333333,0,7.12
-0.52191351,6,0,3,noload,30,3.933922069,1,0,0.61620449654755,balanced,6.38605011755701,2,7.116666667,7.116666667,3.182744598,9,5.066077931,-1.883333333,0,7.12
-0.52191351,6,0,6,noload,25,4.98286480987906,1,0,0.93685134006162,balanced,6.38605011755701,2,7.116666667,7.116666667,2.13380185712094,9,4.01713519012094,-1.883333333,0,7.12
-0.52191351,6,0,10,noload,5,4.30034915650947,1,0,0.789992144,balanced,6.38605011755701,2,7.116666667,7.116666667,2.81631751049053,9,4.69965084349053,-1.883333333,0,7.12
-0.52191351,6,0,7,noload,15,4.66704821448303,1,0,0.832507515,balanced,6.38605011755701,2,7.116666667,7.116666667,2.44961845251697,9,4.33295178551697,-1.883333333,0,7.12
-0.52191351,6,0,2,noload,43,4.46682982826678,1,0,0.704353009,balanced,6.38605011755701,2,7.116666667,7.116666667,2.64983683873322,9,4.53317017173322,-1.883333333,0,7.12
-0.52191351,6,0,10,noload,18,3.483756691,1,0,0.550951638370183,balanced,6.38605011755701,2,7.116666667,7.116666667,3.632909976,9,5.516243309,-1.883333333,0,7.12
-0.52191351,6,0,12,noload,33,4.50031453451311,1,0,0.74172625,balanced,6.38605011755701,2,7.116666667,7.116666667,2.61635213248689,9,4.49968546548689,-1.883333333,0,7.12
-0.52191351,6,0,5,noload,28,3.78366221824581,1,0,0.540673568570032,balanced,6.38605011755701,2,7.116666667,7.116666667,3.33300444875419,9,5.21633778175419,-1.883333333,0,7.12
-0.52191351,6,0,8,noload,37,4.34944263165994,1,0,0.759604680799132,balanced,6.38605011755701,2,7.116666667,7.116666667,2.76722403534006,9,4.65055736834006,-1.883333333,0,7.12
-0.52191351,6,0,1,noload,11,5.63359394549872,1,0,1.17118919487295,balanced,6.38605011755701,2,7.116666667,7.116666667,1.48307272150128,9,3.36640605450129,-1.883333333,0,7.12
-0.52191351,6,0,1,noload,13,5.1002849216126,1,0,1.02555281972939,balanced,6.38605011755701,2,7.116666667,7.116666667,2.0163817453874,9,3.8997150783874,-1.883333333,0,7.12
-0.52191351,6,0,8,noload,19,4.55018578944669,1,0,0.826988617,balanced,6.38605011755701,2,7.116666667,7.116666667,2.56648087755331,9,4.44981421055331,-1.883333333,0,7.12
-0.52191351,6,0,12,noload,24,4.28370771593609,1,0,0.724729913767199,balanced,6.38605011755701,2,7.116666667,7.116666667,2.83295895106391,9,4.71629228406391,-1.883333333,0,7.12
-0.52191351,6,0,4,noload,0,4.10022575652886,1,0,0.662686253,balanced,6.38605011755701,2,7.116666667,7.116666667,3.01644091047114,9,4.89977424347114,-1.883333333,0,7.12
